bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
3.0,Super built-up  Area,Aundh Road,Aundh Road,2502.0,138.0,L,Ready,Ready,13800000.0,5515.587529976019
2.0,Built-up  Area,Balaji Nagar,Balaji Nagar,650.0,17.0,L,Ready,Ready,1700000.0,2615.3846153846152
3.0,Plot  Area,Baner,Baner,2400.0,150.0,L,Ready,Ready,15000000.0,6250.0
2.0,Super built-up  Area,Baner road,Baner road,1007.0,43.0,L,Ready,Ready,4300000.0,4270.109235352532
2.0,Super built-up  Area,Bhandarkar Road,Bhandarkar Road,1200.0,50.0,L,Ready,Ready,5000000.0,4166.666666666667
2.0,Super built-up  Area,Bhavani Peth,Bhavani Peth,966.0,49.9,L,Ready,Ready,4990000.0,5165.631469979296
3.0,Built-up  Area,Bibvewadi,Bibvewadi,1630.0,98.0,L,Ready,Ready,9800000.0,6012.269938650306
3.0,Built-up  Area,Bopodi,Bopodi,1640.0,229.0,L,Ready,Ready,22900000.0,13963.414634146342
2.0,Built-up  Area,Budhwar Peth,Budhwar Peth,782.0,55.68,L,Ready,Ready,5568000.0,7120.204603580562
2.0,Super built-up  Area,Bund Garden Road,Bund Garden Road,1260.0,66.78,L,Under Construction,Under Construction,6678000.0,5300.0
3.0,Super built-up  Area,Camp,Camp,1800.0,120.0,L,Ready,Ready,12000000.0,6666.666666666667
3.0,Super built-up  Area,Chandan Nagar,Chandan Nagar,1413.0,75.0,L,Ready,Ready,7500000.0,5307.855626326964
2.0,Super built-up  Area,Dapodi,Dapodi,1116.0,51.91,L,Ready,Ready,5191000.0,4651.433691756272
3.0,Super built-up  Area,Deccan Gymkhana,Deccan Gymkhana,1530.0,45.9,L,Ready,Ready,4590000.0,3000.0
4.0,Built-up  Area,Dehu Road,Dehu Road,3700.0,225.0,L,Ready,Ready,22500000.0,6081.081081081081
3.0,Built-up  Area,Dhankawadi,Dhankawadi,2497.0,140.0,L,Ready,Ready,14000000.0,5606.728073688426
3.0,Super built-up  Area,Dhayari Phata,Dhayari Phata,1540.0,64.0,L,Ready,Ready,6400000.0,4155.8441558441555
3.0,Super built-up  Area,Dhole Patil Road,Dhole Patil Road,1436.0,74.75,L,Under Construction,Under Construction,7475000.0,5205.431754874652
2.0,Super built-up  Area,Erandwane,Erandwane,1100.0,75.0,L,Under Construction,Under Construction,7500000.0,6818.181818181818
2.0,Plot  Area,Fatima Nagar,Fatima Nagar,276.0,23.0,L,Ready,Ready,2300000.0,8333.333333333334
3.0,Super built-up  Area,Fergusson College Road,Fergusson College Road,1427.0,120.0,L,Ready,Ready,12000000.0,8409.250175192712
3.0,Super built-up  Area,Ganesh Peth,Ganesh Peth,2061.0,200.0,L,Ready,Ready,20000000.0,9704.02717127608
4.0,Built-up  Area,Ghorpade Peth,Ghorpade Peth,2650.0,150.0,L,Ready,Ready,15000000.0,5660.377358490566
3.0,Super built-up  Area,Ghorpadi,Ghorpadi,1282.0,68.52,L,Under Construction,Under Construction,6852000.0,5344.773790951638
2.0,Built-up  Area,Gokhale Nagar,Gokhale Nagar,1050.0,34.0,L,Ready,Ready,3400000.0,3238.095238095238
3.0,Built-up  Area,Gultekdi,Gultekdi,1600.0,65.0,L,Ready,Ready,6500000.0,4062.5
2.0,Super built-up  Area,Guruwar peth,Guruwar peth,945.0,54.0,L,Under Construction,Under Construction,5400000.0,5714.285714285715
2.0,Super built-up  Area,Hadapsar,Hadapsar,1500.0,78.0,L,Ready,Ready,7800000.0,5200.0
7.0,Plot  Area,Hadapsar Industrial Estate,Hadapsar Industrial Estate,950.0,115.0,L,Ready,Ready,11500000.0,12105.263157894737
3.0,Built-up  Area,Hingne Khurd,Hingne Khurd,1870.0,110.0,L,Ready,Ready,11000000.0,5882.35294117647
3.0,Plot  Area,Jangali Maharaj Road,Jangali Maharaj Road,1600.0,75.0,L,Ready,Ready,7500000.0,4687.5
2.0,Super built-up  Area,Kalyani Nagar,Kalyani Nagar,880.0,16.5,L,Ready,Ready,1650000.0,1875.0
4.0,Plot  Area,Karve Nagar,Karve Nagar,1200.0,210.0,L,Ready,Ready,21000000.0,17500.0
3.0,Super built-up  Area,Karve Road,Karve Road,1535.0,83.0,L,Ready,Ready,8300000.0,5407.166123778502
2.0,Built-up  Area,Kasba Peth,Kasba Peth,950.0,57.0,L,Ready,Ready,5700000.0,6000.0
2.0,Super built-up  Area,Katraj,Katraj,1360.0,65.0,L,Under Construction,Under Construction,6500000.0,4779.411764705882
2.0,Super built-up  Area,Khadaki,Khadaki,1073.5,54.005,L,Under Construction,Under Construction,5400500.0,5030.740568234746
3.0,Super built-up  Area,Khadki,Khadki,1280.0,50.4,L,Under Construction,Under Construction,5040000.0,3937.5
3.0,Super built-up  Area,Kharadi,Kharadi,1260.0,85.05,L,Under Construction,Under Construction,8505000.0,6750.0
8.0,Built-up  Area,Kondhwa,Kondhwa,5000.0,250.0,L,Ready,Ready,25000000.0,5000.0
5.0,Super built-up  Area,Kondhwa Budruk,Kondhwa Budruk,3050.0,213.0,L,Under Construction,Under Construction,21300000.0,6983.606557377049
3.0,Super built-up  Area,Kondhwa Khurd,Kondhwa Khurd,1563.05,105.0,L,Ready,Ready,10500000.0,6717.635392341896
2.0,Super built-up  Area,Koregaon Park,Koregaon Park,1000.0,60.0,L,Ready,Ready,6000000.0,6000.0
2.0,Super built-up  Area,Kothrud,Kothrud,1167.0,43.76,L,Under Construction,Under Construction,4376000.0,3749.7857754927163
7.0,Super built-up  Area,Law College Road,Law College Road,4000.0,225.0,L,Ready,Ready,22500000.0,5625.0
3.0,Super built-up  Area,Laxmi Road,Laxmi Road,1828.0,110.0,L,Ready,Ready,11000000.0,6017.505470459519
2.0,Super built-up  Area,Lulla Nagar,Lulla Nagar,890.0,35.0,L,Ready,Ready,3500000.0,3932.5842696629215
3.0,Super built-up  Area,Mahatma Gandhi Road,Mahatma Gandhi Road,1612.0,46.74,L,Ready,Ready,4674000.0,2899.5037220843674
6.0,Plot  Area,Mangalwar peth,Mangalwar peth,1034.0,185.0,L,Ready,Ready,18500000.0,17891.682785299807
3.0,Super built-up  Area,Manik Bagh,Manik Bagh,1710.0,91.31,L,Under Construction,Under Construction,9131000.0,5339.766081871345
2.0,Super built-up  Area,Market yard,Market yard,957.0,58.0,L,Ready,Ready,5800000.0,6060.606060606061
3.0,Super built-up  Area,Model colony,Model colony,1250.0,44.0,L,Under Construction,Under Construction,4400000.0,3520.0
3.0,Super built-up  Area,Mukund Nagar,Mukund Nagar,2795.0,235.0,L,Ready,Ready,23500000.0,8407.871198568873
2.0,Super built-up  Area,Mundhawa,Mundhawa,1125.0,50.0,L,Ready,Ready,5000000.0,4444.444444444444
2.0,Super built-up  Area,Nagar Road,Nagar Road,1020.0,30.6,L,Under Construction,Under Construction,3060000.0,3000.0
2.0,Super built-up  Area,Nana Peth,Nana Peth,1200.0,50.0,L,Ready,Ready,5000000.0,4166.666666666667
3.0,Super built-up  Area,Narayan Peth,Narayan Peth,1735.0,135.0,L,Ready,Ready,13500000.0,7780.979827089337
3.0,Super built-up  Area,Narayangaon,Narayangaon,2050.0,145.0,L,Ready,Ready,14500000.0,7073.170731707317
4.0,Plot  Area,Navi Peth,Navi Peth,3750.0,760.0,L,Ready,Ready,76000000.0,20266.666666666668
3.0,Built-up  Area,Padmavati,Padmavati,1350.0,48.0,L,Ready,Ready,4800000.0,3555.5555555555557
2.0,Super built-up  Area,Parvati Darshan,Parvati Darshan,1063.0,32.0,L,Under Construction,Under Construction,3200000.0,3010.348071495767
3.0,Super built-up  Area,Pashan,Pashan,1904.0,150.0,L,Ready,Ready,15000000.0,7878.151260504202
4.0,Built-up  Area,Paud Road,Paud Road,4200.0,420.0,L,Ready,Ready,42000000.0,10000.0
3.0,Super built-up  Area,Pirangut,Pirangut,2000.0,175.0,L,Ready,Ready,17500000.0,8750.0
2.0,Super built-up  Area,Prabhat Road,Prabhat Road,1242.5,43.49,L,Under Construction,Under Construction,4349000.0,3500.201207243461
3.0,Super built-up  Area,Pune Railway Station,Pune Railway Station,1425.0,75.0,L,Ready,Ready,7500000.0,5263.1578947368425
3.0,Super built-up  Area,Rasta Peth,Rasta Peth,1500.0,64.5,L,Ready,Ready,6450000.0,4300.0
2.0,Built-up  Area,Raviwar Peth,Raviwar Peth,1060.0,60.0,L,Ready,Ready,6000000.0,5660.377358490566
3.0,Built-up  Area,Sadashiv Peth,Sadashiv Peth,1470.0,70.0,L,Ready,Ready,7000000.0,4761.9047619047615
6.0,Super built-up  Area,Sahakar Nagar,Sahakar Nagar,1300.0,99.0,L,Ready,Ready,9900000.0,7615.384615384615
1.0,Super built-up  Area,Salunke Vihar,Salunke Vihar,450.0,11.0,L,Ready,Ready,1100000.0,2444.4444444444443
2.0,Super built-up  Area,Sasson Road,Sasson Road,1152.0,64.5,L,Under Construction,Under Construction,6450000.0,5598.958333333333
3.0,Super built-up  Area,Satara Road,Satara Road,1350.0,56.0,L,Ready,Ready,5600000.0,4148.148148148148
3.0,Super built-up  Area,Senapati Bapat Road,Senapati Bapat Road,1550.0,65.0,L,Ready,Ready,6500000.0,4193.548387096775
3.0,Plot  Area,Shaniwar Peth,Shaniwar Peth,1500.0,100.0,L,Ready,Ready,10000000.0,6666.666666666667
5.0,Plot  Area,Shivaji Nagar,Shivaji Nagar,600.0,85.0,L,Ready,Ready,8500000.0,14166.666666666666
1.0,Plot  Area,Shukrawar Peth,Shukrawar Peth,400.0,14.0,L,Ready,Ready,1400000.0,3500.0
1.0,Super built-up  Area,Sinhagad Road,Sinhagad Road,705.0,67.0,L,Ready,Ready,6700000.0,9503.54609929078
2.0,Built-up  Area,Somwar Peth,Somwar Peth,770.0,36.0,L,Ready,Ready,3600000.0,4675.324675324675
2.0,Super built-up  Area,Swargate,Swargate,1242.0,51.0,L,Ready,Ready,5100000.0,4106.280193236715
3.0,Super built-up  Area,Tilak Road,Tilak Road,1700.0,155.0,L,Ready,Ready,15500000.0,9117.64705882353
3.0,Super built-up  Area,Uruli Devachi,Uruli Devachi,2144.0,145.0,L,Ready,Ready,14500000.0,6763.059701492537
3.0,Super built-up  Area,Vadgaon Budruk,Vadgaon Budruk,1704.0,110.0,L,Under Construction,Under Construction,11000000.0,6455.399061032864
2.0,Super built-up  Area,Wadgaon Sheri,Wadgaon Sheri,1070.0,52.0,L,Ready,Ready,5200000.0,4859.813084112149
3.0,Plot  Area,Viman Nagar,Viman Nagar,1846.0,300.0,L,Ready,Ready,30000000.0,16251.354279523293
2.0,Super built-up  Area,Vishrant Wadi,Vishrant Wadi,1340.0,55.7,L,Ready,Ready,5570000.0,4156.7164179104475
2.0,Built-up  Area,Wagholi,Wagholi,1025.0,46.0,L,Ready,Ready,4600000.0,4487.804878048781
2.0,Super built-up  Area,Wakadewadi,Wakadewadi,1277.5,56.8,L,Ready,Ready,5680000.0,4446.183953033268
2.0,Super built-up  Area,Wanowrie,Wanowrie,1200.0,52.0,L,Ready,Ready,5200000.0,4333.333333333333
4.0,Built-up  Area,Warje,Warje,2250.0,110.0,L,Under Construction,Under Construction,11000000.0,4888.888888888889
3.0,Super built-up  Area,Yerawada,Yerawada,1550.0,80.0,L,Ready,Ready,8000000.0,5161.290322580645
4.0,Plot  Area,Alandi Road,Alandi Road,1200.0,325.0,L,Ready,Ready,32500000.0,27083.333333333332
7.0,Plot  Area,Ambegaon Budruk,Ambegaon Budruk,1800.0,250.0,L,Ready,Ready,25000000.0,13888.888888888889
2.0,Super built-up  Area,Anandnagar,Anandnagar,1200.0,60.0,L,Ready,Ready,6000000.0,5000.0
2.0,Super built-up  Area,Aundh,Aundh,1327.0,98.0,L,Ready,Ready,9800000.0,7385.079125847777
2.0,Super built-up  Area,Aundh Road,Aundh Road,1186.0,58.0,L,Ready,Ready,5800000.0,4890.387858347386
3.0,Built-up  Area,Balaji Nagar,Balaji Nagar,1783.0,115.0,L,Ready,Ready,11500000.0,6449.8037016264725
3.0,Super built-up  Area,Baner,Baner,1400.0,56.0,L,Ready,Ready,5600000.0,4000.0
2.0,Super built-up  Area,Baner road,Baner road,980.0,48.0,L,Ready,Ready,4800000.0,4897.959183673469
2.0,Super built-up  Area,Bhandarkar Road,Bhandarkar Road,1285.0,82.0,L,Ready,Ready,8200000.0,6381.322957198444
3.0,Super built-up  Area,Bhavani Peth,Bhavani Peth,912.0,70.0,L,Ready,Ready,7000000.0,7675.438596491228
2.0,Built-up  Area,Bibvewadi,Bibvewadi,1225.0,47.6,L,Ready,Ready,4760000.0,3885.714285714286
2.0,Super built-up  Area,Bopodi,Bopodi,1075.0,53.0,L,Ready,Ready,5300000.0,4930.232558139535
3.0,Built-up  Area,Budhwar Peth,Budhwar Peth,1260.0,54.0,L,Ready,Ready,5400000.0,4285.714285714285
3.0,Super built-up  Area,Bund Garden Road,Bund Garden Road,1282.0,48.7,L,Ready,Ready,4870000.0,3798.751950078003
3.0,Super built-up  Area,Camp,Camp,1909.0,88.0,L,Ready,Ready,8800000.0,4609.743321110529
2.0,Super built-up  Area,Chandan Nagar,Chandan Nagar,1359.0,87.0,L,Ready,Ready,8700000.0,6401.766004415011
2.0,Built-up  Area,Dapodi,Dapodi,1207.0,43.5,L,Ready,Ready,4350000.0,3603.976801988401
4.0,Plot  Area,Deccan Gymkhana,Deccan Gymkhana,1736.0,190.0,L,Ready,Ready,19000000.0,10944.700460829494
4.0,Super built-up  Area,Dehu Road,Dehu Road,2850.0,428.0,L,Under Construction,Under Construction,42800000.0,15017.543859649122
3.0,Super built-up  Area,Dhankawadi,Dhankawadi,1595.0,65.0,L,Ready,Ready,6500000.0,4075.2351097178685
3.0,Built-up  Area,Dhayari Phata,Dhayari Phata,1798.0,89.0,L,Under Construction,Under Construction,8900000.0,4949.944382647386
3.0,Super built-up  Area,Dhole Patil Road,Dhole Patil Road,1475.0,78.29,L,Ready,Ready,7829000.000000001,5307.796610169492
3.0,Super built-up  Area,Erandwane,Erandwane,1580.0,100.0,L,Ready,Ready,10000000.0,6329.113924050633
2.0,Super built-up  Area,Fatima Nagar,Fatima Nagar,1295.0,65.0,L,Ready,Ready,6500000.0,5019.305019305019
6.0,Built-up  Area,Fergusson College Road,Fergusson College Road,3600.0,141.0,L,Ready,Ready,14100000.0,3916.6666666666665
1.0,Super built-up  Area,Ganesh Peth,Ganesh Peth,589.0,27.0,L,Ready,Ready,2700000.0,4584.040747028863
3.0,Super built-up  Area,Ganeshkhind,Ganeshkhind,1415.0,78.0,L,Ready,Ready,7800000.0,5512.367491166077
3.0,Super built-up  Area,Ghorpade Peth,Ghorpade Peth,1787.0,98.29,L,Under Construction,Under Construction,9829000.0,5500.279798545048
3.0,Super built-up  Area,Ghorpadi,Ghorpadi,1787.0,125.0,L,Ready,Ready,12500000.0,6994.963626189144
3.0,Super built-up  Area,Gokhale Nagar,Gokhale Nagar,1475.0,90.0,L,Ready,Ready,9000000.0,6101.6949152542375
4.0,Built-up  Area,Gultekdi,Gultekdi,2000.0,75.5,L,Ready,Ready,7550000.0,3775.0
2.0,Super built-up  Area,Guruwar peth,Guruwar peth,984.0,44.28,L,Under Construction,Under Construction,4428000.0,4500.0
3.0,Super built-up  Area,Hadapsar,Hadapsar,1630.0,74.82,L,Under Construction,Under Construction,7481999.999999999,4590.184049079754
3.0,Super built-up  Area,Hadapsar Industrial Estate,Hadapsar Industrial Estate,2405.0,260.0,L,Ready,Ready,26000000.0,10810.81081081081
2.0,Built-up  Area,Hingne Khurd,Hingne Khurd,1080.0,72.0,L,Ready,Ready,7200000.0,6666.666666666667
