bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
2.0,Built-up  Area,Sanjay nagar,Sanjay nagar,1000.0,70.0,L,Ready,Unknown,7000000.0,7000.0
2.0,Super built-up  Area,Electronic City,Electronic City,1000.0,28.88,L,Under Construction,New,2888000.0,2888.0
3.0,Super built-up  Area, Mysore Highway, Mysore Highway,1450.0,70.0,L,Ready,Unknown,7000000.0,4827.586206896552
4.0,Plot  Area,ISRO Layout,ISRO Layout,1200.0,155.0,L,Ready,Unknown,15500000.0,12916.666666666666
2.0,Super built-up  Area,Thanisandra,Thanisandra,1296.0,80.0,L,Under Construction,New,8000000.0,6172.83950617284
3.0,Super built-up  Area,Domlur,Domlur,1540.0,90.0,L,Ready,Unknown,9000000.0,5844.1558441558445
4.0,Plot  Area,Kengeri,Kengeri,2894.0,245.0,L,Ready,Unknown,24500000.0,8465.791292328957
3.0,Super built-up  Area,Sarjapura - Attibele Road,Sarjapura - Attibele Road,1330.0,48.0,L,Ready,Unknown,4800000.0,3609.0225563909776
2.0,Built-up  Area,Devasthanagalu,Devasthanagalu,1200.0,65.0,L,Ready,Unknown,6500000.0,5416.666666666667
3.0,Built-up  Area,T Dasarahalli,T Dasarahalli,1200.0,90.0,L,Ready,Unknown,9000000.0,7500.0
3.0,Super built-up  Area,Yeshwanthpur,Yeshwanthpur,2502.0,138.0,L,Ready,Unknown,13800000.0,5515.587529976019
2.0,Built-up  Area,Chandapura,Chandapura,650.0,17.0,L,Ready,Unknown,1700000.0,2615.3846153846152
3.0,Plot  Area,Kothanur,Kothanur,2400.0,150.0,L,Ready,Unknown,15000000.0,6250.0
2.0,Super built-up  Area,Green View Layout,Green View Layout,1007.0,43.0,L,Ready,Unknown,4300000.0,4270.109235352532
2.0,Super built-up  Area,Shantiniketan Layout,Shantiniketan Layout,1200.0,50.0,L,Ready,Unknown,5000000.0,4166.666666666667
2.0,Super built-up  Area,Peenya,Peenya,966.0,49.9,L,Ready,Unknown,4990000.0,5165.631469979296
3.0,Built-up  Area,Nagarbhavi,Nagarbhavi,1630.0,98.0,L,Ready,Unknown,9800000.0,6012.269938650306
3.0,Built-up  Area,Rajaji Nagar,Rajaji Nagar,1640.0,229.0,L,Ready,Unknown,22900000.0,13963.414634146342
2.0,Built-up  Area,Jalahalli West,Jalahalli West,782.0,55.68,L,Ready,Unknown,5568000.0,7120.204603580562
2.0,Super built-up  Area,Devanahalli,Devanahalli,1260.0,66.78,L,Under Construction,New,6678000.0,5300.0
3.0,Super built-up  Area,Lakshmiamma Garden,Lakshmiamma Garden,1800.0,120.0,L,Ready,Unknown,12000000.0,6666.666666666667
3.0,Super built-up  Area,Byatarayanapura,Byatarayanapura,1413.0,75.0,L,Ready,Unknown,7500000.0,5307.855626326964
2.0,Super built-up  Area,Whitefield,Whitefield,1116.0,51.91,L,Ready,Unknown,5191000.0,4651.433691756272
3.0,Super built-up  Area,Electronic City,Electronic City,1530.0,45.9,L,Ready,Unknown,4590000.0,3000.0
4.0,Built-up  Area,Ramamurthy Nagar,Ramamurthy Nagar,3700.0,225.0,L,Ready,Unknown,22500000.0,6081.081081081081
3.0,Built-up  Area,Sarjapur  Road,Sarjapur  Road,2497.0,140.0,L,Ready,Unknown,14000000.0,5606.728073688426
3.0,Super built-up  Area,Kengeri,Kengeri,1540.0,64.0,L,Ready,Unknown,6400000.0,4155.8441558441555
3.0,Super built-up  Area,Thanisandra,Thanisandra,1436.0,74.75,L,Under Construction,New,7475000.0,5205.431754874652
2.0,Super built-up  Area,Malleshwaram,Malleshwaram,1100.0,75.0,L,Under Construction,New,7500000.0,6818.181818181818
2.0,Plot  Area,Hennur Road,Hennur Road,276.0,23.0,L,Ready,Unknown,2300000.0,8333.333333333334
3.0,Super built-up  Area,Thanisandra,Thanisandra,1427.0,120.0,L,Ready,Unknown,12000000.0,8409.250175192712
3.0,Super built-up  Area,Akshaya Nagar,Akshaya Nagar,2061.0,200.0,L,Ready,Unknown,20000000.0,9704.02717127608
4.0,Built-up  Area,Shampura,Shampura,2650.0,150.0,L,Ready,Unknown,15000000.0,5660.377358490566
3.0,Super built-up  Area,Devanahalli,Devanahalli,1282.0,68.52,L,Under Construction,New,6852000.0,5344.773790951638
2.0,Built-up  Area,Kadugodi,Kadugodi,1050.0,34.0,L,Ready,Unknown,3400000.0,3238.095238095238
3.0,Built-up  Area,LB Shastri Nagar,LB Shastri Nagar,1600.0,65.0,L,Ready,Unknown,6500000.0,4062.5
2.0,Super built-up  Area,Vajarahalli,Vajarahalli,945.0,54.0,L,Under Construction,New,5400000.0,5714.285714285715
2.0,Super built-up  Area,Hormavu,Hormavu,1500.0,78.0,L,Ready,Unknown,7800000.0,5200.0
7.0,Plot  Area,Vishwapriya Layout,Vishwapriya Layout,950.0,115.0,L,Ready,Unknown,11500000.0,12105.263157894737
3.0,Built-up  Area,Peenya,Peenya,1870.0,110.0,L,Ready,Unknown,11000000.0,5882.35294117647
3.0,Plot  Area,Sarjapur,Sarjapur,1600.0,75.0,L,Ready,Unknown,7500000.0,4687.5
4.0,Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,Ramaswamy Palya - Kammanahalli Main Road,1200.0,210.0,L,Ready,Unknown,21000000.0,17500.0
3.0,Super built-up  Area,Kudlu Gate,Kudlu Gate,1535.0,83.0,L,Ready,Unknown,8300000.0,5407.166123778502
2.0,Built-up  Area,Kanakpura Road,Kanakpura Road,950.0,57.0,L,Ready,Unknown,5700000.0,6000.0
2.0,Super built-up  Area,Devanahalli,Devanahalli,1360.0,65.0,L,Under Construction,New,6500000.0,4779.411764705882
2.0,Super built-up  Area,8th Phase JP Nagar,8th Phase JP Nagar,1073.5,54.005,L,Under Construction,New,5400500.0,5030.740568234746
3.0,Super built-up  Area,Bommasandra Industrial Area,Bommasandra Industrial Area,1280.0,50.4,L,Under Construction,New,5040000.0,3937.5
3.0,Super built-up  Area,Chandra Layout,Chandra Layout,1260.0,85.05,L,Under Construction,New,8505000.0,6750.0
5.0,Super built-up  Area,Yelahanka,Yelahanka,3050.0,213.0,L,Under Construction,New,21300000.0,6983.606557377049
3.0,Super built-up  Area,Kasavanhalli,Kasavanhalli,1563.05,105.0,L,Ready,Unknown,10500000.0,6717.635392341896
2.0,Super built-up  Area,ISRO Layout,ISRO Layout,1000.0,60.0,L,Ready,Unknown,6000000.0,6000.0
2.0,Super built-up  Area,Anandapura,Anandapura,1167.0,43.76,L,Under Construction,New,4376000.0,3749.7857754927163
7.0,Super built-up  Area,Vishveshwarya Layout,Vishveshwarya Layout,4000.0,225.0,L,Ready,Unknown,22500000.0,5625.0
3.0,Super built-up  Area,Kothanur,Kothanur,1828.0,110.0,L,Ready,Unknown,11000000.0,6017.505470459519
2.0,Super built-up  Area,Kengeri Satellite Town,Kengeri Satellite Town,890.0,35.0,L,Ready,Unknown,3500000.0,3932.5842696629215
3.0,Super built-up  Area,Basavanapura,Basavanapura,1612.0,46.74,L,Ready,Unknown,4674000.0,2899.5037220843674
6.0,Plot  Area,Dinnur,Dinnur,1034.0,185.0,L,Ready,Unknown,18500000.0,17891.682785299807
3.0,Super built-up  Area,Mysore Road,Mysore Road,1710.0,91.31,L,Under Construction,New,9131000.0,5339.766081871345
2.0,Super built-up  Area,Kannamangala,Kannamangala,957.0,58.0,L,Ready,Unknown,5800000.0,6060.606060606061
3.0,Super built-up  Area, Devarachikkanahalli, Devarachikkanahalli,1250.0,44.0,L,Under Construction,New,4400000.0,3520.0
3.0,Super built-up  Area,Sanjeevini Nagar,Sanjeevini Nagar,2795.0,235.0,L,Ready,Unknown,23500000.0,8407.871198568873
2.0,Super built-up  Area,Hulimavu,Hulimavu,1125.0,50.0,L,Ready,Unknown,5000000.0,4444.444444444444
2.0,Super built-up  Area,Electronic City Phase II,Electronic City Phase II,1020.0,30.6,L,Under Construction,New,3060000.0,3000.0
2.0,Super built-up  Area,Kalena Agrahara,Kalena Agrahara,1200.0,50.0,L,Ready,Unknown,5000000.0,4166.666666666667
3.0,Super built-up  Area,Thanisandra,Thanisandra,1735.0,135.0,L,Ready,Unknown,13500000.0,7780.979827089337
3.0,Super built-up  Area,Thanisandra,Thanisandra,2050.0,145.0,L,Ready,Unknown,14500000.0,7073.170731707317
4.0,Plot  Area,Mahalakshmi Layout,Mahalakshmi Layout,3750.0,760.0,L,Ready,Unknown,76000000.0,20266.666666666668
3.0,Built-up  Area,Yarandahalli,Yarandahalli,1350.0,48.0,L,Ready,Unknown,4800000.0,3555.5555555555557
2.0,Super built-up  Area,Hosa Road,Hosa Road,1063.0,32.0,L,Under Construction,New,3200000.0,3010.348071495767
3.0,Super built-up  Area,Keshava Nagar,Keshava Nagar,1904.0,150.0,L,Ready,Unknown,15000000.0,7878.151260504202
4.0,Built-up  Area,Whitefield,Whitefield,4200.0,420.0,L,Ready,Unknown,42000000.0,10000.0
3.0,Super built-up  Area,RMV Extension,RMV Extension,2000.0,175.0,L,Ready,Unknown,17500000.0,8750.0
2.0,Super built-up  Area,Sarjapur,Sarjapur,1242.5,43.49,L,Under Construction,New,4349000.0,3500.201207243461
3.0,Super built-up  Area,Tejaswini Nagar,Tejaswini Nagar,1425.0,75.0,L,Ready,Unknown,7500000.0,5263.1578947368425
3.0,Super built-up  Area,Electronic City,Electronic City,1500.0,64.5,L,Ready,Unknown,6450000.0,4300.0
2.0,Built-up  Area,Electronic City,Electronic City,1060.0,60.0,L,Ready,Unknown,6000000.0,5660.377358490566
3.0,Built-up  Area,Jai Bheema Nagar,Jai Bheema Nagar,1470.0,70.0,L,Ready,Unknown,7000000.0,4761.9047619047615
6.0,Super built-up  Area,Kothnur Narayanapura,Kothnur Narayanapura,1300.0,99.0,L,Ready,Unknown,9900000.0,7615.384615384615
1.0,Super built-up  Area,Attibele,Attibele,450.0,11.0,L,Ready,Unknown,1100000.0,2444.4444444444443
2.0,Super built-up  Area,Electronic City,Electronic City,1152.0,64.5,L,Under Construction,New,6450000.0,5598.958333333333
3.0,Super built-up  Area,Electronic City,Electronic City,1350.0,56.0,L,Ready,Unknown,5600000.0,4148.148148148148
3.0,Super built-up  Area,CV Raman Nagar,CV Raman Nagar,1550.0,65.0,L,Ready,Unknown,6500000.0,4193.548387096775
3.0,Plot  Area,CHIKKATIRUPATHI,CHIKKATIRUPATHI,1500.0,100.0,L,Ready,Unknown,10000000.0,6666.666666666667
5.0,Plot  Area,Kumaraswami Layout,Kumaraswami Layout,600.0,85.0,L,Ready,Unknown,8500000.0,14166.666666666666
1.0,Plot  Area,Nagavara,Nagavara,400.0,14.0,L,Ready,Unknown,1400000.0,3500.0
1.0,Super built-up  Area,Malleshwaram,Malleshwaram,705.0,67.0,L,Ready,Unknown,6700000.0,9503.54609929078
2.0,Built-up  Area,Electronic City,Electronic City,770.0,36.0,L,Ready,Unknown,3600000.0,4675.324675324675
2.0,Super built-up  Area,Hulimavu,Hulimavu,1242.0,51.0,L,Ready,Unknown,5100000.0,4106.280193236715
3.0,Super built-up  Area,Hebbal Kempapura,Hebbal Kempapura,1700.0,155.0,L,Ready,Unknown,15500000.0,9117.64705882353
3.0,Super built-up  Area,Thanisandra,Thanisandra,2144.0,145.0,L,Ready,Unknown,14500000.0,6763.059701492537
3.0,Super built-up  Area,Vijayanagar,Vijayanagar,1704.0,110.0,L,Under Construction,New,11000000.0,6455.399061032864
2.0,Super built-up  Area,Electronic City,Electronic City,1070.0,52.0,L,Ready,Unknown,5200000.0,4859.813084112149
3.0,Plot  Area,8th block Koramangala,8th block Koramangala,1846.0,300.0,L,Ready,Unknown,30000000.0,16251.354279523293
2.0,Super built-up  Area,Jakkuru Layout,Jakkuru Layout,1340.0,55.7,L,Ready,Unknown,5570000.0,4156.7164179104475
2.0,Built-up  Area,Electronic City,Electronic City,1025.0,46.0,L,Ready,Unknown,4600000.0,4487.804878048781
2.0,Super built-up  Area,KR Puram,KR Puram,1277.5,56.8,L,Ready,Unknown,5680000.0,4446.183953033268
2.0,Super built-up  Area,Marathahalli,Marathahalli,1200.0,52.0,L,Ready,Unknown,5200000.0,4333.333333333333
4.0,Built-up  Area,Kanakpura Road,Kanakpura Road,2250.0,110.0,L,Under Construction,New,11000000.0,4888.888888888889
3.0,Super built-up  Area,Pattandur Agrahara,Pattandur Agrahara,1550.0,80.0,L,Ready,Unknown,8000000.0,5161.290322580645
4.0,Plot  Area,Bellandur,Bellandur,1200.0,325.0,L,Ready,Unknown,32500000.0,27083.333333333332
7.0,Plot  Area,Ejipura,Ejipura,1800.0,250.0,L,Ready,Unknown,25000000.0,13888.888888888889
2.0,Super built-up  Area,Marathahalli,Marathahalli,1200.0,60.0,L,Ready,Unknown,6000000.0,5000.0
2.0,Super built-up  Area,Yelahanka,Yelahanka,1327.0,98.0,L,Ready,Unknown,9800000.0,7385.079125847777
2.0,Super built-up  Area,Kothanur,Kothanur,1186.0,58.0,L,Ready,Unknown,5800000.0,4890.387858347386
3.0,Built-up  Area,MS Pallya,MS Pallya,1783.0,115.0,L,Ready,Unknown,11500000.0,6449.8037016264725
3.0,Super built-up  Area,HSR Layout,HSR Layout,1400.0,56.0,L,Ready,Unknown,5600000.0,4000.0
2.0,Super built-up  Area,Nagasandra,Nagasandra,980.0,48.0,L,Ready,Unknown,4800000.0,4897.959183673469
2.0,Super built-up  Area,EPIP Zone,EPIP Zone,1285.0,82.0,L,Ready,Unknown,8200000.0,6381.322957198444
3.0,Super built-up  Area,Langford Town,Langford Town,912.0,70.0,L,Ready,Unknown,7000000.0,7675.438596491228
2.0,Built-up  Area,Whitefield,Whitefield,1225.0,47.6,L,Ready,Unknown,4760000.0,3885.714285714286
2.0,Super built-up  Area,Whitefield,Whitefield,1075.0,53.0,L,Ready,Unknown,5300000.0,4930.232558139535
3.0,Built-up  Area,Kadugodi,Kadugodi,1260.0,54.0,L,Ready,Unknown,5400000.0,4285.714285714285
3.0,Super built-up  Area,Yelahanka,Yelahanka,1282.0,48.7,L,Ready,Unknown,4870000.0,3798.751950078003
3.0,Super built-up  Area,Kogilu,Kogilu,1909.0,88.0,L,Ready,Unknown,8800000.0,4609.743321110529
2.0,Super built-up  Area,Panathur,Panathur,1359.0,87.0,L,Ready,Unknown,8700000.0,6401.766004415011
2.0,Built-up  Area,Nagondanahalli,Nagondanahalli,1207.0,43.5,L,Ready,Unknown,4350000.0,3603.976801988401
4.0,Plot  Area,Padmanabhanagar,Padmanabhanagar,1736.0,190.0,L,Ready,Unknown,19000000.0,10944.700460829494
4.0,Super built-up  Area,1st Block Jayanagar,1st Block Jayanagar,2850.0,428.0,L,Under Construction,New,42800000.0,15017.543859649122
3.0,Super built-up  Area,Kammasandra,Kammasandra,1595.0,65.0,L,Ready,Unknown,6500000.0,4075.2351097178685
3.0,Built-up  Area,"Off Sarjapur Road, ","Off Sarjapur Road, ",1798.0,89.0,L,Under Construction,New,8900000.0,4949.944382647386
3.0,Super built-up  Area,Electronics City Phase 1,Electronics City Phase 1,1475.0,78.29,L,Ready,Unknown,7829000.000000001,5307.796610169492
3.0,Super built-up  Area,Tala Cauvery Layout,Tala Cauvery Layout,1580.0,100.0,L,Ready,Unknown,10000000.0,6329.113924050633
2.0,Super built-up  Area,Dasarahalli,Dasarahalli,1295.0,65.0,L,Ready,Unknown,6500000.0,5019.305019305019
6.0,Built-up  Area,Magadi Road,Magadi Road,3600.0,141.0,L,Ready,Unknown,14100000.0,3916.6666666666665
1.0,Super built-up  Area,Electronic City,Electronic City,589.0,27.0,L,Ready,Unknown,2700000.0,4584.040747028863
3.0,Super built-up  Area,Ngef Layout,Ngef Layout,1415.0,78.0,L,Ready,Unknown,7800000.0,5512.367491166077
3.0,Super built-up  Area,Sarjapur  Road,Sarjapur  Road,1787.0,98.29,L,Under Construction,New,9829000.0,5500.279798545048
3.0,Super built-up  Area,Sarjapur  Road,Sarjapur  Road,1787.0,125.0,L,Ready,Unknown,12500000.0,6994.963626189144
3.0,Super built-up  Area,Koramangala,Koramangala,1475.0,90.0,L,Ready,Unknown,9000000.0,6101.6949152542375
4.0,Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2","Lakshminarayanapura, Electronic City Phase 2",2000.0,75.5,L,Ready,Unknown,7550000.0,3775.0
2.0,Super built-up  Area,Sarjapur  Road,Sarjapur  Road,984.0,44.28,L,Under Construction,New,4428000.0,4500.0
3.0,Super built-up  Area,Devanahalli,Devanahalli,1630.0,74.82,L,Under Construction,New,7481999.999999999,4590.184049079754
